,text,dic_rounded,lsvc,knn,mnb,lsvc_bin,knn_bin,mnb_bin
161,RT @deleteitugly: Meilleur moment du débat #2017LeDebat ,Nan,2,2,1,1,1,1
162,"RT @EmmanuelMacron: Madame Le Pen , la France mérite mieux que vous. #2017LeDébat ",1,1,2,1,1,1,1
163,RT @Freezze: C'est bon elle a vrillé complet #2017LeDebat ,1,2,2,2,0,0,0
164,RT @Sylvqin: T'as pas besoin de parler de ton programme si t'insultes l'autre candidat pendant 3h #2017LeDébat ,Nan,2,2,2,0,1,0
165,RT @MikaCissero: Bon Ça m'a soulé 😫 Moi je me tire à @Disneyland 😃😃 #Debat2017 #2017LeDebat #GrandDebat ,Nan,2,2,2,1,1,1
166,RT @Antigone_75013: #NathalieSaintCricq va garder des séquelles importants du #Debat2017 #2017LeDebat ,Nan,2,2,2,0,1,1
167,RT @Freezze: RT si t'as rien compris. #2017LeDebat ,0,2,2,2,0,1,0
168,RT @glamchocolat: C'est fou ont à tous pensé à la même image 😱#2017LeDebat #GrandDebat2017 ,0,2,2,2,0,0,0
169,RT @Sylvqin: T'as pas besoin de parler de ton programme si t'insultes l'autre candidat pendant 3h #2017LeDébat ,Nan,2,2,2,0,1,0
170,RT @AudeBaron: Le Pen qui accuse Macron d'avoir des soutiens louches. Et pendant ce temps... #2017leDebat ,0,2,2,2,0,0,1
171,"RT @lobs: #2017LeDebat , 23h18 , on a perdu Marine le Pen :    ",0,2,2,2,0,1,0
172,RT @glamchocolat: C'est fou ont à tous pensé à la même image 😱#2017LeDebat #GrandDebat2017 ,0,2,2,2,0,0,0
173,RT @Hakimjemili: Macron il est trop chaud ce soir je crois que même Le Pen elle va voter pour lui!   #2017LeDebat ,Nan,2,2,2,1,0,1
174,"RT @FansdeFunes: #2017LeDebat
Les pauvres c'est fait pour être très pauvres et les riches très riches  ",0,0,0,0,0,0,0
175,RT @pierrecharon: #Debat2017 #2017LeDebat #debatpresidentielle2017 #GrandDebat # au secours #NicolasSarkozy reviens🇫🇷#AvecBaroin pour gagne… ,1,2,2,2,0,0,1
